"State" "POP" "UR" "MV" "BL" "SP" "AI" "IN" "PR" "MH" "B" "HT" "S" "DI" "MA" "D" "DR" "DN" "HS" "CR" "M" "PI" "RP" "VT" "PH" "INC" "PL"
"ME" 1125 475 417 3 5 41 11 7 10 149 358 139 160 109 56 146 45 678 4368 28 61 456 648 54 4430 120
"NH" 921 522 450 4 6 14 9 5 10 145 306 150 170 102 59 159 53 703 4680 25 35 577 578 58 5105 79
"VT" 512 338 451 1 3 10 5 4 6 152 341 148 136 105 46 211 58 697 4988 22 67 444 583 52 4372 135
"MA" 5237 838 409 221 141 77 77 55 82 122 357 89 164 78 30 258 71 723 6079 41 56 419 593 58 5660 71
"RI" 948 870 426 28 20 29 11 5 10 128 402 115 224 79 39 206 56 617 5933 44 65 372 590 57 5281 87
"CT" 3107 788 425 217 124 45 34 36 45 124 321 103 143 82 45 242 73 703 5882 47 68 482 612 64 6552 67
"NY" 17757 846 404 2402 1659 387 218 236 223 134 396 96 177 81 37 261 74 662 6912 127 123 467 480 54 5736 94
"NJ" 7364 890 424 925 492 84 60 88 70 132 377 72 183 75 32 184 66 664 6401 69 76 520 551 66 6107 81
"PA" 11867 693 363 1048 154 95 124 127 146 135 414 119 211 80 34 183 55 648 3736 68 68 496 520 62 5273 97
"OH" 10797 733 452 1077 120 122 107 142 89 156 356 126 183 93 55 157 49 677 5431 81 125 515 554 56 5289 94
"IN" 5491 642 462 415 87 78 51 82 71 162 334 119 203 110 77 126 43 670 4930 89 114 560 577 57 4995 81
"IL" 11419 830 460 1675 636 163 119 122 106 164 379 100 153 97 46 182 54 661 5275 106 94 496 578 66 5881 105
"MI" 9259 707 447 1199 162 400 86 129 122 157 321 123 169 97 48 154 53 686 6676 102 163 490 598 60 5562 91
"WI" 4706 642 422 183 63 295 58 47 68 155 349 124 158 84 36 151 58 703 4799 29 85 479 677 55 5225 77
"MN" 4077 668 432 53 32 350 50 32 51 161 307 102 119 91 37 185 62 724 4799 26 49 425 704 57 5436 83
"IA" 2914 586 429 42 26 55 37 23 25 161 380 118 157 96 39 122 50 723 4747 22 86 513 629 59 5232 79
"MO" 4917 681 479 514 52 123 48 68 37 157 380 122 168 109 57 158 48 641 5433 111 112 512 589 58 5021 120
"ND" 654 488 436 3 4 202 9 3 13 179 313 98 153 92 32 126 47 676 2964 12 28 642 651 63 4891 106
"SD" 690 464 429 2 4 451 11 5 11 189 354 117 148 130 39 102 43 689 3243 7 88 605 674 56 4362 131
"NE" 1570 627 461 48 28 92 22 17 31 167 348 92 134 89 40 145 61 743 4305 44 89 655 568 61 5234 96
"KS" 2363 667 489 126 63 154 31 48 15 165 345 108 165 105 54 150 46 731 5379 69 106 579 570 61 5580 80
"DE" 596 707 460 96 10 13 5 7 2 153 334 146 252 75 53 160 46 695 6777 69 183 472 549 64 5779 82
"MD" 4216 803 485 958 65 80 39 89 48 140 308 109 162 111 41 257 59 693 6630 95 183 442 502 62 5846 77
"VA" 5346 660 497 1008 80 93 46 113 37 148 295 141 121 113 45 170 49 642 4620 86 161 530 480 53 5250 105
"WV" 1950 362 396 65 13 16 14 23 1 159 431 140 208 94 53 133 39 533 2552 71 64 452 528 44 4360 151
"NC" 5874 480 462 1316 57 646 48 108 52 150 313 117 144 80 49 150 38 553 4640 106 244 493 439 53 4371 147
"SC" 3119 541 453 948 33 58 23 51 11 173 295 113 154 182 47 134 36 571 5439 114 238 494 407 50 4061 172
"GA" 5464 623 514 1465 61 76 46 144 19 172 301 136 130 134 65 144 42 587 5604 138 219 409 417 55 4512 180
"FL" 9739 843 559 1342 858 193 61 162 59 137 410 177 174 117 79 188 50 648 8402 145 208 555 496 59 5028 144
"KY" 3661 508 464 259 27 36 27 56 13 167 379 125 173 96 45 134 42 533 3434 88 99 491 500 48 4255 177
"TN" 4591 604 474 726 34 51 34 67 29 156 324 126 121 135 68 158 48 549 4498 108 153 487 489 53 4315 158
"AL" 3891 600 455 996 33 76 31 57 25 166 304 105 170 129 70 124 35 555 4934 132 149 488 490 50 4186 164
"MS" 2520 473 446 887 25 62 16 26 12 189 320 96 167 112 56 106 32 523 3417 145 132 494 521 47 3677 261
"AR" 2285 516 494 373 18 94 20 21 10 167 364 105 172 119 93 119 33 562 3811 92 128 481 516 47 4062 185
"LA" 4203 683 442 1237 99 121 32 77 34 197 317 118 186 103 38 149 40 583 5454 157 211 512 537 52 4727 193
"OK" 3026 673 523 205 57 1695 37 60 24 170 364 135 151 154 79 128 42 656 5053 100 151 605 528 57 5095 138
"TX" 14228 796 525 1710 2986 401 116 216 132 190 267 127 127 129 69 152 42 645 6143 169 210 553 456 55 5336 152
"MT" 787 529 496 2 10 373 8 6 10 179 279 155 145 104 65 127 57 725 5024 40 94 568 652 56 4769 115
"ID" 945 540 513 3 37 105 6 6 5 221 241 134 116 148 71 108 55 715 4782 31 87 665 685 54 4502 103
"WY" 471 628 519 3 24 71 4 3 0 217 233 176 139 144 78 107 49 753 4986 62 113 626 542 56 6089 87
"CO" 2890 806 571 102 339 181 22 30 45 170 229 178 105 118 60 199 61 781 7333 69 96 551 568 57 5603 91
"NM" 1299 722 503 24 476 1048 6 15 8 206 168 171 140 131 80 147 41 657 5979 131 106 549 514 46 4384 193
"AZ" 2718 838 587 75 441 1529 11 33 12 191 265 193 120 121 82 187 49 725 8171 103 160 606 452 53 4915 138
"UT" 1461 844 461 9 60 193 7 9 1 301 198 128 128 122 56 164 64 802 5881 38 64 728 655 53 4274 85
"NV" 799 853 638 51 54 133 3 12 0 176 246 248 99 1474 168 138 49 757 8854 200 230 625 413 63 5999 88
"WA" 4130 736 550 106 120 608 38 59 46 164 284 142 129 120 69 178 68 763 6915 51 106 497 580 56 5762 85
"OR" 2632 679 553 37 66 273 24 26 22 165 296 155 119 87 70 177 69 755 6687 51 120 483 616 55 5208 89
"CA" 23669 913 565 1819 4544 2013 214 499 137 167 278 163 107 88 61 226 63 740 7833 145 98 527 495 61 6114 104
"AK" 400 645 731 14 9 640 1 3 1 224 76 148 27 123 86 118 56 796 6210 97 143 543 583 36 7141 67
"HI" 965 865 541 17 71 28 4 4 8 192 156 118 127 128 55 203 68 730 7482 87 65 425 436 47 5645 79
